Tick, X-Pos, Y-Pos, Z-Pos, X-Vel, Y-Vel, Z-Vel, Speed
136, 1186.183661, -309.3176059, 0, 4.078556171, -3.725451197, 0, 5.523912296
137, 1190.241824, -313.0494299, 0, 4.037770609, -3.738196685, 0, 5.502518146
138, 1194.259406, -316.7939356, 0, 3.997392903, -3.750814718, 0, 5.48158381
139, 1198.236812, -320.5509962, 0, 3.957418974, -3.763306571, 0, 5.46110257
140, 1202.174444, -324.3204863, 0, 3.917844785, -3.775673505, 0, 5.441067742
141, 1206.072699, -328.1022814, 0, 3.878666337, -3.78791677, 0, 5.421472679
142, 1209.931973, -331.8962586, 0, 3.839879673, -3.800037602, 0, 5.402310773
143, 1213.752653, -335.702296, 0, 3.801480877, -3.812037226, 0, 5.383575454
144, 1217.535126, -339.520273, 0, 3.763466068, -3.823916854, 0, 5.365260194
145, 1221.279775, -343.3500703, 0, 3.725831407, -3.835677685, 0, 5.347358505
146, 1224.986977, -347.1915696, 0, 3.688573093, -3.847320908, 0, 5.329863942
147, 1228.657107, -351.0446539, 0, 3.651687362, -3.858847699, 0, 5.312770102
148, 1232.290536, -354.9092074, 0, 3.615170489, -3.870259222, 0, 5.296070629
149, 1235.887631, -358.7851153, 0, 3.579018784, -3.88155663, 0, 5.279759211
150, 1239.448755, -362.6722642, 0, 3.543228596, -3.892741064, 0, 5.263829582
151, 1242.974267, -366.5705415, 0, 3.50779631, -3.903813653, 0, 5.248275525
152, 1246.464524, -370.4798361, 0, 3.472718347, -3.914775517, 0, 5.233090871
153, 1249.919879, -374.4000377, 0, 3.437991163, -3.925627761, 0, 5.218269499
154, 1253.34068, -378.3310374, 0, 3.403611252, -3.936371484, 0, 5.203805339
155, 1256.727274, -382.272727, 0, 3.369575139, -3.947007769, 0, 5.189692375
156, 1260.080001, -386.2249997, 0, 3.335879388, -3.957537691, 0, 5.175924639
157, 1263.399201, -390.1877497, 0, 3.302520594, -3.967962314, 0, 5.162496218
158, 1266.685209, -394.1608722, 0, 3.269495388, -3.978282691, 0, 5.149401253
159, 1269.938357, -398.1442635, 0, 3.236800434, -3.988499864, 0, 5.136633938
160, 1273.158973, -402.1378209, 0, 3.20443243, -3.998614866, 0, 5.124188525
161, 1276.347384, -406.1414427, 0, 3.172388105, -4.008628717, 0, 5.112059319
162, 1279.50391, -410.1550282, 0, 3.140664224, -4.01854243, 0, 5.100240684
163, 1282.628871, -414.1784779, 0, 3.109257582, -4.028357006, 0, 5.088727039
164, 1285.722582, -418.2116932, 0, 3.078165006, -4.038073436, 0, 5.077512863
165, 1288.785356, -422.2545762, 0, 3.047383356, -4.047692701, 0, 5.066592694
166, 1291.817502, -426.3070305, 0, 3.016909523, -4.057215774, 0, 5.055961126
167, 1294.819327, -430.3689602, 0, 2.986740427, -4.066643616, 0, 5.045612816
168, 1297.791134, -434.4402706, 0, 2.956873023, -4.07597718, 0, 5.035542478
169, 1300.733223, -438.5208679, 0, 2.927304293, -4.085217408, 0, 5.02574489
170, 1303.645891, -442.6106592, 0, 2.89803125, -4.094365234, 0, 5.016214888
171, 1306.529432, -446.7095526, 0, 2.869050938, -4.103421582, 0, 5.00694737
172, 1309.384137, -450.8174571, 0, 2.840360428, -4.112387366, 0, 4.997937296
173, 1312.210296, -454.9342825, 0, 2.811956824, -4.121263493, 0, 4.989179688
174, 1315.008193, -459.0599397, 0, 2.783837256, -4.130050858, 0, 4.980669629
175, 1317.778111, -463.1943403, 0, 2.755998883, -4.138750349, 0, 4.972402266
176, 1320.52033, -467.3373969, 0, 2.728438894, -4.147362846, 0, 4.964372808
177, 1323.235127, -471.4890229, 0, 2.701154505, -4.155889217, 0, 4.956576525
178, 1325.922775, -475.6491327, 0, 2.67414296, -4.164330325, 0, 4.949008752
179, 1328.583548, -479.8176413, 0, 2.647401531, -4.172687022, 0, 4.941664886
180, 1331.217712, -483.9944649, 0, 2.620927515, -4.180960151, 0, 4.934540387
181, 1333.825535, -488.1795203, 0, 2.59471824, -4.18915055, 0, 4.927630777
182, 1336.40728, -492.3727251, 0, 2.568771058, -4.197259044, 0, 4.920931643
183, 1338.963207, -496.5739978, 0, 2.543083347, -4.205286454, 0, 4.914438632
184, 1341.493575, -500.7832578, 0, 2.517652514, -4.213233589, 0, 4.908147457
185, 1343.998639, -505.0004253, 0, 2.492475989, -4.221101254, 0, 4.902053891
186, 1346.478653, -509.225421, 0, 2.467551229, -4.228890241, 0, 4.89615377
187, 1348.933866, -513.4581668, 0, 2.442875716, -4.236601339, 0, 4.890442993
188, 1351.364528, -517.6985851, 0, 2.418446959, -4.244235325, 0, 4.884917521
189, 1353.770882, -521.9465993, 0, 2.39426249, -4.251792972, 0, 4.879573377
190, 1356.153173, -526.2021333, 0, 2.370319865, -4.259275042, 0, 4.874406646
191, 1358.511642, -530.465112, 0, 2.346616666, -4.266682292, 0, 4.869413472
192, 1360.846525, -534.7354608, 0, 2.323150499, -4.274015469, 0, 4.864590062
193, 1363.15806, -539.0131062, 0, 2.299918994, -4.281275314, 0, 4.859932684
194, 1365.446479, -543.2979752, 0, 2.276919805, -4.288462561, 0, 4.855437667
195, 1367.712015, -547.5899954, 0, 2.254150606, -4.295577935, 0, 4.851101396
196, 1369.954895, -551.8890955, 0, 2.2316091, -4.302622156, 0, 4.846920321
197, 1372.175346, -556.1952045, 0, 2.209293009, -4.309595935, 0, 4.842890947
198, 1374.373592, -560.5082525, 0, 2.187200079, -4.316499975, 0, 4.839009839
199, 1376.549856, -564.8281699, 0, 2.165328079, -4.323334975, 0, 4.835273622
